Motorway,Surface,Number,Type,Vegetation,Use,Fishing,Green frogs,Brown frogs,Common toad
A1,600,1,1,4,0,0,0,0,0
A1,700,1,5,1,3,1,0,1,1
A1,200,1,5,1,3,4,0,1,1
A1,300,1,5,0,3,4,0,0,1
A1,600,2,1,4,0,0,0,1,1
A1,200,1,5,1,1,0,0,0,0
A1,500,1,5,0,1,2,0,0,1
A1,700,1,5,2,0,0,1,1,0
A1,750,2,5,1,0,1,0,1,1
A1,200,1,12,4,0,0,0,1,1
A1,200,1,1,4,0,0,1,0,0
A1,300,1,14,2,0,0,0,1,1
A1,7000,1,1,1,3,3,1,0,1
A1,1700,1,1,1,0,1,1,1,1
A1,8000,1,1,3,0,0,0,1,1
A1,30000,1,1,3,0,0,1,1,1
A1,300,1,12,4,0,0,0,1,1
A1,300,1,15,1,0,0,0,1,1
A1,1600,3,1,0,3,1,1,1,1
A1,3800,6,1,2,3,1,1,0,1
A1,7000,6,1,1,3,4,1,0,1
A1,2500,1,1,3,0,1,1,0,1
A1,800,1,1,0,3,4,0,1,1
A1,1700,1,1,3,0,0,0,1,1
A1,300,1,1,2,0,0,1,0,0
A1,4500,1,1,1,3,2,1,1,1
A1,1000,1,12,4,0,0,0,1,0
A1,7000,1,1,4,0,0,0,0,0
A1,30000,1,1,3,1,0,1,1,1
A1,7000,1,1,3,0,0,0,1,1
A1,3300,1,1,3,0,0,0,1,0
A1,2100,1,1,3,0,0,0,0,0
A1,500,1,1,0,3,4,1,1,0
A1,400,2,1,2,0,0,0,1,0
A1,300,1,1,1,0,0,0,1,1
A1,1100,1,1,0,3,4,0,1,1
A1,1000,1,1,2,0,0,0,0,0
A1,400,1,5,1,1,0,0,0,1
A1,100,1,1,2,0,0,0,1,0
A1,100,1,5,1,3,0,1,0,0
A1,80000,1,12,4,0,0,1,0,0
A1,200,1,12,4,0,0,0,0,1
A1,100,1,11,4,0,0,0,0,1
A1,2500,1,1,3,0,0,0,1,0
A1,31000,6,1,0,3,4,1,1,1
A1,500,1,12,4,0,0,1,1,1
A1,25000,5,1,0,3,4,1,0,0
A1,40000,1,1,1,3,2,1,1,0
A1,1900,7,12,4,0,0,1,1,0
A1,30,1,1,2,0,0,0,1,1
A1,4300,1,1,3,0,0,1,1,1
A1,4000,1,1,3,0,0,1,1,1
A1,300,1,1,4,0,0,0,1,0
A1,400,1,1,2,0,0,0,1,0
A1,1000,1,1,1,0,0,1,1,1
A1,1500,2,2,2,1,2,0,1,1
A1,300,1,14,3,0,0,1,1,1
A1,600,1,1,2,0,0,0,0,0
A1,28300,4,1,1,3,2,1,1,1
A1,1000,1,1,0,3,3,1,0,1
A1,50,1,1,2,0,0,1,1,1
A1,9000,2,2,0,1,2,1,0,1
A1,19300,2,1,1,3,3,1,1,1
A1,100,1,1,4,0,0,1,0,1
A1,3500,1,2,0,0,0,1,1,1
A1,300,1,12,3,0,0,1,1,0
A1,100,1,12,4,0,0,0,1,0
A1,200,1,12,4,0,0,0,1,0
A1,300,1,12,4,0,0,0,1,0
A1,300,1,11,3,0,0,1,1,1
A1,300,1,11,3,0,0,1,1,0
A1,300,1,14,3,0,0,1,1,1
A1,1000,1,1,2,0,0,0,0,1
A1,9100,1,1,0,3,3,1,0,0
A1,100,1,11,4,0,0,1,1,1
A1,100,1,1,2,0,0,1,0,0
A1,300,1,1,3,0,0,0,0,0
A1,500,2,1,0,3,3,0,0,1
A1,1000,1,1,3,0,0,0,0,0
A1,500,1,12,4,0,0,1,0,1
S52,600,2,1,1,3,1,1,1,1
S52,1300,1,1,0,3,1,0,1,1
S52,2000,3,1,4,0,0,0,1,1
S52,300,1,15,2,0,0,0,1,1
S52,10050,1,1,2,0,1,0,1,1
S52,9000,3,1,2,0,1,1,1,1
S52,300,1,15,3,0,0,0,1,1
S52,300,1,14,1,0,0,0,1,1
S52,3500,1,1,2,0,0,1,1,1
S52,300,1,15,0,0,0,1,0,0
S52,16000,4,1,2,0,2,1,1,1
S52,500,1,14,1,0,0,1,1,1
S52,3500,1,1,3,0,0,1,1,1
S52,300,1,15,1,0,0,1,1,0
S52,5000,1,1,0,3,2,1,1,1
S52,10000,1,1,3,0,1,1,1,1
S52,10000,4,1,0,0,1,0,1,1
S52,29000,3,1,2,3,3,1,1,1
S52,8250,1,1,3,0,0,1,1,1
S52,250,1,7,1,0,0,1,1,1
S52,80000,2,1,1,3,4,1,1,1
S52,300,1,15,1,0,0,0,1,1
S52,500000,9,1,3,3,3,1,1,1
S52,50000,10,1,4,0,0,1,1,1
S52,8000,1,1,2,3,2,1,1,0
S52,450,1,1,1,0,1,1,1,1
S52,300,1,15,0,0,0,0,1,0
S52,50,1,1,1,0,0,0,1,1
S52,50,1,1,2,0,0,1,1,0
S52,8300,2,1,2,3,3,1,1,1
S52,1800,1,1,0,3,2,1,1,1
S52,150,2,1,1,0,1,1,1,1
S52,500,1,1,3,0,0,1,1,1
S52,900,1,1,1,3,2,1,1,1
S52,300,1,15,1,0,0,0,1,1
S52,300,1,15,1,0,0,0,1,1
S52,300,1,15,1,1,0,0,1,0
S52,3000,1,1,3,0,1,1,1,1
S52,450,1,1,1,3,3,1,1,0
S52,300,1,15,1,0,0,1,0,0
S52,200,1,5,2,3,0,1,1,1
S52,700,1,1,0,3,2,1,1,1
S52,300,1,14,1,0,0,0,1,0
S52,300,1,12,2,0,0,0,1,0
S52,300,1,15,1,0,0,0,0,0
S52,300,1,15,1,0,0,0,0,0
S52,200,1,1,1,0,0,1,1,1
S52,350,1,1,2,0,0,1,1,1
S52,300,1,15,1,0,0,0,0,0
S52,1000,1,12,1,0,0,0,1,0
S52,100,1,1,1,0,0,0,1,1
S52,300,1,15,1,0,0,0,0,0
S52,6300,3,1,0,0,0,1,1,1
S52,3400,2,2,0,0,0,1,0,0
S52,2400,2,1,0,3,4,1,0,0
S52,115000,5,1,0,3,4,1,1,0
S52,40000,4,1,1,3,4,1,1,1
S52,300,1,1,0,3,3,1,1,1
S52,1500,1,1,0,3,0,1,0,0
S52,4000,2,1,0,3,4,1,1,0
S52,360000,12,1,1,3,4,1,1,1
S52,4100,5,1,1,3,3,1,1,1
S52,2300,1,1,1,1,3,1,1,1
S52,1500,3,1,1,3,3,1,1,1
S52,300,1,1,3,0,0,1,1,0
S52,15000,2,1,2,3,3,1,1,1
S52,1700,1,1,3,0,0,1,1,1
S52,2500,2,1,3,0,0,1,1,1
S52,2400,1,1,2,0,1,1,1,1
S52,300,1,12,3,0,0,1,1,1
S52,2600,2,1,2,3,2,1,1,1
S52,600,1,1,4,0,0,0,1,0
S52,2000,1,1,3,0,0,1,1,1
S52,26000,3,1,1,3,4,1,1,1
S52,350,1,1,0,3,3,1,1,1
S52,200,1,1,3,0,0,1,1,1
S52,2300,1,1,2,0,0,1,1,1
S52,300,1,15,1,0,0,0,1,0
S52,600,1,5,2,3,2,1,1,1
S52,300,1,12,3,0,0,0,1,0
S52,1400,1,1,1,0,0,1,1,1
S52,3000,1,1,3,0,0,1,1,1
S52,300,1,15,1,0,0,0,1,0
S52,2300,1,1,1,3,3,1,1,1
S52,2600,1,1,2,0,0,1,1,1
S52,300,1,14,1,0,0,0,1,1
S52,300,1,1,3,0,0,1,1,1
S52,22000,1,1,4,0,0,1,1,1
S52,300,1,12,3,0,0,0,1,0
S52,300,1,12,4,0,0,0,1,0
S52,1000,2,1,3,0,0,1,1,1
S52,300,1,15,1,0,0,0,1,0
S52,300,1,15,1,0,0,0,1,0
S52,1100,2,1,3,0,0,0,1,1
S52,200,1,1,1,0,0,0,1,1
S52,1000,1,1,4,0,0,1,0,0
S52,300,1,14,2,0,0,0,1,0
S52,1000,1,14,2,0,0,0,1,0
S52,1100,1,5,0,3,3,0,0,0
S52,2500,1,1,4,0,0,1,1,1
S52,4000,2,1,1,3,2,1,1,1
S52,200,1,12,3,0,0,0,1,1
S52,350,1,1,0,1,3,1,1,1
S52,4000,1,12,4,0,0,0,1,1
S52,2300,1,12,3,0,0,0,1,0
S52,300,1,14,2,0,0,1,1,1
S52,500,1,1,4,0,0,1,1,1
S52,300,1,12,3,0,0,0,1,1
S52,300,1,12,3,0,0,0,1,1
