ID,day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes
0,1,6,2012,29,57.0,18.0,0.0,65.7,3.4,7.6,1.3,3.4,0.5,not fire
1,2,6,2012,29,61.0,13.0,1.3,64.4,4.1,7.6,1.0,3.9,0.4,not fire
2,3,6,2012,26,82.0,22.0,13.1,47.1,2.5,7.1,0.3,2.7,0.1,not fire
3,4,6,2012,25,89.0,13.0,2.5,28.6,1.3,6.9,0.0,1.7,0.0,not fire
4,5,6,2012,27,77.0,16.0,0.0,74.92608695652174,3.0,14.2,1.2,3.9,0.5,not fire
5,6,6,2012,31,67.0,14.0,0.0,82.6,5.8,22.2,3.1,7.0,5.489473684210527,fire
6,7,6,2012,33,54.0,13.0,0.0,88.2,9.9,30.5,6.4,10.9,7.2,fire
7,8,6,2012,30,67.8859649122807,15.0,0.0,86.6,12.1,38.3,5.6,13.5,7.1,fire
8,9,6,2012,25,88.0,13.0,0.2,52.9,7.9,38.8,0.4,10.5,0.3,not fire
9,10,6,2012,28,79.0,12.0,0.0,73.2,9.5,46.3,1.3,12.6,0.9,not fire
10,11,6,2012,31,65.0,14.0,0.0,84.5,12.5,54.3,4.0,15.8,5.6,fire
11,12,6,2012,26,81.0,19.0,0.0,84.0,13.8,61.4,4.8,17.7,7.1,fire
12,13,6,2012,27,84.0,21.0,1.2,50.0,6.7,17.0,0.5,6.7,0.2,not fire
13,14,6,2012,30,78.0,20.0,0.5,59.0,4.6,7.8,1.0,4.4,0.4,not fire
14,15,6,2012,28,80.0,17.0,3.1,49.4,3.0,7.4,0.4,3.0,0.1,not fire
15,16,6,2012,29,89.0,13.0,0.7,36.1,1.7,7.6,0.0,2.2,0.0,not fire
16,17,6,2012,30,89.0,16.0,0.6,37.3,1.1,7.8,0.0,1.6,0.0,not fire
17,18,8,2012,31,78.0,14.0,0.3,56.9,1.9,8.0,0.7,2.4,0.2,not fire
18,19,6,2012,31,55.0,16.0,0.8267857142857142,79.9,4.5,16.0,2.5,5.3,1.4,not fire
19,20,6,2012,30,80.0,16.0,0.4,59.8,3.4,27.1,0.9,5.1,0.4,not fire
20,21,6,2012,30,78.0,14.0,0.0,81.0,6.3,31.6,2.6,8.4,2.2,fire
21,22,6,2012,31,67.0,17.0,0.1,79.1,7.0,39.5,2.4,9.7,2.3,not fire
22,23,6,2012,32,62.0,18.0,0.1,81.4,8.2,47.7,3.3,11.5,3.8,fire
23,24,6,2012,32,66.0,17.0,0.0,85.9,11.2,55.8,5.6,14.9,7.5,fire
24,25,6,2012,31,64.0,15.0,0.0,86.7,14.2,63.8,5.7,18.3,8.4,fire
25,26,6,2012,31,64.0,18.0,0.0,86.8,17.8,71.8,6.7,21.6,10.6,fire
26,27,6,2012,34,53.0,18.0,0.0,89.0,12.505263157894737,80.3,9.2,25.8,15.0,fire
27,28,6,2012,32,55.0,14.0,0.0,89.1,25.5,88.5,7.6,29.7,13.9,fire
28,29,6,2012,32,47.0,13.0,0.3,79.9,18.4,84.4,2.2,23.8,3.9,not fire
29,30,6,2012,33,50.0,14.0,0.0,88.7,22.9,92.8,7.2,28.3,12.9,fire
30,1,7,2012,29,68.0,19.0,1.0,59.9,2.5,54.61043478260869,1.1,2.9,0.4,not fire
31,2,7,2012,27,75.0,19.0,1.2,55.7,12.505263157894737,8.3,0.8,2.8,0.3,not fire
33,4,7,2012,33,78.0,17.0,0.0,80.1,4.6,18.5,2.7,5.7,1.7,not fire
34,5,7,2012,33,66.0,14.0,0.0,85.9,7.6,27.9,4.8,9.1,4.9,fire
35,6,7,2012,32,63.0,14.0,0.0,87.0,10.9,37.0,5.6,12.5,6.8,fire
36,7,7,2012,35,64.0,18.0,0.8267857142857142,80.0,9.7,40.4,2.8,12.1,3.2,not fire
37,8,7,2012,33,68.0,19.0,0.0,85.6,12.5,49.8,6.0,15.4,8.0,fire
39,10,7,2012,33,69.0,13.0,0.7,66.6,6.0,9.3,1.1,5.8,0.5,not fire
40,11,7,2012,33,76.0,14.0,0.0,81.1,8.1,18.7,2.6,8.1,2.2,not fire
41,12,7,2012,31,75.0,13.0,0.1,75.1,7.9,27.7,1.5,9.2,0.9,not fire
42,13,7,2012,34,81.0,15.0,0.0,81.8,9.7,37.2,3.0,11.7,3.4,not fire
43,14,7,2012,34,61.0,13.0,0.6,73.9,7.8,22.9,1.4,8.4,0.8,not fire
44,15,7,2012,30,80.0,19.0,0.4,60.7,5.2,17.0,1.1,5.9,0.5,not fire
45,16,7,2012,28,76.0,21.0,0.0,72.6,7.0,25.5,0.7,8.3,0.4,not fire
46,17,7,2012,29,70.0,14.0,0.0,82.8,9.4,34.1,3.2,11.1,3.6,fire
47,18,7,2012,31,68.0,14.0,0.0,85.4,12.1,43.1,4.6,14.2,6.0,fire
48,19,7,2012,35,59.0,17.0,0.0,88.1,12.0,52.8,7.7,18.2,10.9,fire
49,20,7,2012,33,65.0,15.0,0.1,81.4,12.3,62.1,2.8,16.5,4.0,fire
50,21,7,2012,33,70.0,17.0,0.0,85.4,18.5,71.5,5.2,22.4,8.8,fire
51,22,7,2012,28,79.0,18.0,0.1,73.4,16.4,79.9,1.8,21.7,2.8,not fire
52,23,7,2012,27,66.0,22.0,0.4,68.2,10.5,71.3,1.8,15.4,2.1,not fire
53,24,7,2012,28,78.0,16.0,0.1,70.0,9.6,79.7,1.4,14.7,1.3,not fire
54,25,7,2012,31,65.0,18.0,0.0,84.3,12.5,88.7,4.8,18.5,7.3,fire
55,26,7,2012,36,53.0,19.0,0.0,89.2,17.1,98.6,10.0,23.9,15.3,fire
56,27,7,2012,36,48.0,13.0,0.0,90.3,22.2,108.5,8.7,29.4,15.3,fire
57,28,7,2012,33,76.0,15.0,0.0,86.5,24.4,117.8,5.6,32.1,11.3,fire
58,29,7,2012,32,73.0,15.0,0.0,86.6,26.7,127.0,5.6,35.0,11.9,fire
59,30,7,2012,31,79.0,15.0,0.0,85.4,28.5,136.0,4.7,15.479130434782608,10.7,fire
61,1,8,2012,36,45.0,14.0,0.0,78.8,4.8,10.2,2.0,4.7,0.9,not fire
62,2,8,2012,35,55.0,12.0,0.4,78.0,5.8,10.0,1.7,5.5,0.8,not fire
64,4,8,2012,34,69.0,13.0,0.0,85.0,8.2,19.8,4.0,8.2,3.9,fire
65,5,8,2012,34,65.0,16.088495575221238,0.0,86.8,11.1,29.7,5.2,11.5,6.1,fire
66,6,8,2012,32,75.0,14.0,0.0,86.4,13.0,39.1,5.2,14.2,6.8,fire
67,7,8,2012,32,69.0,16.0,0.0,86.5,15.5,48.6,5.5,17.2,8.0,fire
68,8,8,2012,32,60.0,18.0,0.3,77.1,11.3,47.0,2.2,14.1,2.6,not fire
69,9,8,2012,35,59.0,17.0,0.8267857142857142,87.4,14.8,57.0,6.9,17.9,9.9,fire
70,10,8,2012,35,55.0,14.0,0.0,88.9,18.6,67.0,7.4,21.9,11.6,fire
71,11,8,2012,35,63.0,16.088495575221238,0.0,88.9,21.7,77.0,7.1,25.5,12.1,fire
72,12,8,2012,35,51.0,13.0,0.3,81.3,15.6,75.1,2.5,20.7,4.2,not fire
73,13,8,2012,35,63.0,16.088495575221238,0.0,87.0,19.0,85.1,5.9,24.4,10.2,fire
74,14,8,2012,33,66.0,14.0,0.0,87.0,21.7,94.7,5.7,27.2,10.6,fire
75,15,8,2012,36,55.0,13.0,0.3,82.4,15.6,92.5,3.7,22.0,6.3,fire
76,16,8,2012,36,61.0,18.0,0.8267857142857142,80.2,11.7,90.4,2.8,17.6,4.2,fire
77,17,8,2012,37,52.0,18.0,0.0,89.3,16.0,100.7,9.7,22.9,14.6,fire
78,18,8,2012,36,54.0,18.0,0.0,89.4,20.0,110.9,9.7,27.5,5.489473684210527,fire
79,19,8,2012,35,62.0,19.0,0.0,89.4,23.2,120.9,9.7,31.3,17.2,fire
80,20,8,2012,35,68.0,19.0,0.8267857142857142,88.3,25.9,130.6,8.8,34.7,16.8,fire
81,21,8,2012,36,58.0,19.0,0.0,88.6,29.6,141.1,9.2,38.8,5.489473684210527,fire
82,22,8,2012,36,55.0,18.0,0.0,89.1,33.5,151.3,9.9,43.1,20.4,fire
83,23,8,2012,36,53.0,16.0,0.0,89.5,37.6,161.5,10.4,47.5,22.3,fire
84,24,8,2012,34,64.0,14.0,0.0,88.9,40.5,171.3,9.0,50.9,20.9,fire
85,25,8,2012,35,60.0,15.0,0.0,88.9,43.9,181.3,8.2,54.7,20.3,fire
86,26,8,2012,31,78.0,18.0,0.0,85.8,45.6,190.6,4.7,57.1,13.7,fire
87,27,8,2012,33,82.0,21.0,0.0,84.9,47.0,200.2,4.4,59.3,13.2,fire
88,28,8,2012,34,64.0,16.0,0.0,89.4,50.2,210.4,7.3,62.9,19.9,fire
89,29,8,2012,35,48.0,18.0,0.0,90.1,54.2,220.4,12.5,67.4,30.2,fire
90,30,8,2012,35,70.0,17.0,0.8,72.7,25.2,180.4,1.7,37.4,4.2,not fire
91,31,8,2012,28,80.0,21.0,16.8,52.5,8.7,8.7,0.6,8.3,0.3,not fire
93,2,9,2012,22,86.0,15.0,10.1,30.5,0.7,7.0,0.0,1.1,0.0,not fire
94,3,9,2012,25,78.0,15.0,3.8,42.6,1.2,7.5,0.1,1.7,0.0,not fire
95,4,9,2012,29,73.0,17.0,0.1,68.4,1.9,15.7,1.4,2.9,0.5,not fire
96,5,9,2012,29,75.0,16.0,0.0,80.8,3.4,24.0,2.8,5.1,1.7,fire
97,6,9,2012,29,74.0,19.0,0.1,75.8,12.505263157894737,32.2,2.1,15.479130434782608,0.9,not fire
98,7,9,2012,31,71.0,17.0,0.3,69.6,3.2,30.1,1.5,5.1,0.6,not fire
99,8,9,2012,30,73.0,17.0,0.9,62.0,2.6,8.4,1.1,3.0,0.4,not fire
100,9,9,2012,30,77.0,15.0,1.0,56.1,2.1,8.4,0.7,2.6,0.2,not fire
101,10,9,2012,33,73.0,12.0,1.8,59.9,2.2,8.9,0.7,2.7,0.3,not fire
102,11,9,2012,30,77.0,21.0,1.8,58.5,1.9,8.4,1.1,2.4,0.3,not fire
103,12,9,2012,29,88.0,13.0,0.0,71.0,2.6,16.6,1.2,3.7,0.5,not fire
104,13,9,2012,25,86.0,21.0,4.6,40.9,1.3,7.5,0.1,1.8,0.0,not fire
105,14,9,2012,22,76.0,26.0,8.3,47.4,1.1,7.0,0.4,1.6,0.1,not fire
106,15,9,2012,24,82.0,15.0,0.4,44.9,0.9,7.3,0.2,1.4,0.0,not fire
107,16,9,2012,30,65.0,14.0,0.0,78.1,3.2,15.7,1.9,4.2,0.8,not fire
108,17,9,2012,31,52.0,14.0,0.0,87.7,6.4,24.3,6.2,7.7,5.9,fire
109,18,9,2012,32,49.0,11.0,0.0,89.4,9.8,33.1,6.8,11.3,7.7,fire
110,19,9,2012,29,57.0,14.0,0.0,74.92608695652174,12.5,41.3,7.8,14.2,9.7,fire
111,20,9,2012,28,67.8859649122807,18.0,0.0,83.8,13.5,49.3,4.5,16.0,6.3,fire
112,21,9,2012,31,55.0,11.0,0.0,87.8,16.5,57.9,5.4,19.2,8.3,fire
113,22,9,2012,31,67.8859649122807,19.0,0.6,77.8,10.6,41.4,2.4,12.9,2.8,not fire
114,23,8,2012,32,54.0,11.0,0.5,73.7,7.9,30.4,1.2,9.6,0.7,not fire
115,24,9,2012,29,65.0,19.0,0.6,68.3,5.5,54.61043478260869,1.5,5.8,0.7,not fire
116,25,9,2012,26,81.0,21.0,5.8,48.6,3.0,7.7,0.4,3.0,0.1,not fire
117,26,9,2012,31,54.0,11.0,0.0,82.0,6.0,16.3,2.5,6.2,1.7,not fire
118,27,9,2012,31,66.0,16.088495575221238,0.0,85.7,8.3,24.9,4.0,9.0,4.1,fire
119,28,9,2012,32,47.0,14.0,0.7,77.5,7.1,8.8,1.8,6.8,0.9,not fire
120,29,9,2012,26,80.0,16.0,1.8,47.4,2.9,7.7,0.3,3.0,0.1,not fire
121,30,9,2012,25,78.0,14.0,1.4,45.0,1.9,7.5,0.2,2.4,0.1,not fire
